# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 2.600000e+01
# lRef       : 1.000000e+00
# Aref       : 1.000000e+00
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	1.202979e+00	4.595422e-01	2.378744e+00	2.392351e+00	-1.360678e-02
2            	8.806006e-01	2.327859e-01	1.824145e+00	1.792673e+00	3.147195e-02
3            	-5.057592e-02	-9.509597e-02	9.222499e-02	-4.463422e-03	9.668841e-02
4            	-5.986646e-01	-1.428205e-01	-9.752349e-01	-1.086282e+00	1.110471e-01
5            	-4.781644e-01	-3.148494e-02	-8.243333e-01	-8.903311e-01	6.599773e-02
6            	-3.843915e-02	4.258707e-02	-8.074685e-02	-7.881258e-02	-1.934270e-03
7            	2.751001e-01	2.614182e-02	4.895828e-01	5.198915e-01	-3.030872e-02
8            	2.858842e-01	-2.475248e-03	5.607092e-01	5.662388e-01	-5.529574e-03
9            	1.167198e-01	-1.645469e-03	3.180973e-01	2.757684e-01	4.232889e-02
10           	-5.208618e-02	8.420862e-03	4.783244e-02	-2.816996e-02	7.600240e-02
11           	-1.076765e-01	6.087988e-03	-6.064119e-02	-1.379971e-01	7.735591e-02
12           	-6.562798e-02	-1.812691e-03	-1.859136e-02	-7.492366e-02	5.633230e-02
13           	7.620906e-03	-8.811500e-03	7.792882e-02	4.658531e-02	3.134350e-02
14           	7.511845e-02	-3.706540e-03	1.827360e-01	1.664864e-01	1.624953e-02
15           	8.656180e-02	2.765779e-03	2.164323e-01	1.947780e-01	2.165438e-02
16           	6.673598e-02	6.188849e-03	2.081951e-01	1.708335e-01	3.736157e-02
17           	2.903206e-02	2.506657e-03	1.649697e-01	1.115169e-01	5.345278e-02
18           	-1.686868e-03	-2.775271e-03	1.153873e-01	5.600677e-02	5.938051e-02
19           	-6.826708e-03	-6.205388e-03	9.498958e-02	4.066808e-02	5.432150e-02
20           	1.039216e-02	-7.246332e-03	1.081169e-01	6.445059e-02	4.366627e-02
21           	3.592633e-02	-5.152436e-03	1.446666e-01	1.082596e-01	3.640697e-02
